provider_name,status,risk_tier,primary_asn,additional_asns,known_prefixes,country_registration,country_operations,corporate_entity,aliases,parent_entity,upstream_providers,downstream_of,sanctions_designations,key_personnel,associated_threat_actors,associated_malware,operational_patterns,identification_signals,first_observed,last_updated,rf_threat_density_score,sources,notes,description
Tnsecurity Ltd (EVILEMPIRE),dissolved,T2-High Risk,AS216309 (historical; reassigned to InvisionTech Group S.r.l. [IT] - do not block),,,United Kingdom,"Germany-hosted (Tornado DC, Langen) behind aurologic; operator Russia-linked",Tnsecurity Ltd,EVILEMPIRE; Lethost,,aurologic GmbH (AS30823),aurologic GmbH,,,Doppelganger influence operation,,Doppelganger infrastructure; aurologic downstream,Historical Spamhaus ASN-DROP listing (Feb 2024 snapshot); High malicious traffic ratio; ASN since reassigned,2023-10,2026-09-25,,ABUSECH-FEEDS; HYAS-RISEPRO; QURIUM-DOPPELGANGER; RF-AUROLOGIC; SPAMHAUS-ASNDROP-2026; REGISTRY-SNAPSHOT-2026-09,"UK-registered (RIPE org TNSECURITY LTD, GB) network that announced 185.172.128.0/24 via AS216309 (as-name EVILEMPIRE-AS) behind aurologic; Qurium tied hundreds of Doppelganger domains to 185.172.128.161 between Oct 2023 and Jul 2024. AS216309 was on Spamhaus ASN-DROP in the Feb 2024 snapshot, but not in Dec 2025 or now. The ASN has since been re-issued to InvisionTech Group S.r.l. (IT) and the Doppelganger IP now sits in an unrelated Russian network, so the entity is no longer identifiable as a live network - status set to 'dissolved' (network defunct) on 2026-09-25. Do not block AS216309. Corrections: registration is UK, not Germany (Germany is where servers sat); ASN-DROP is a Spamhaus list, not abuse.ch.",
Railnet LLC / Virtualine Technologies,flagged,T1-Confirmed BPH,AS214943 (registered to Railnet LLC; dark since ~2026-02),"AS202412 (OMEGATECH / Omegatech LTD [SC]; live Virtualine network, Spamhaus ASN-DROP under virtualine.org)",,United States (Kentucky LLC),Russia-linked operator; EU-hosted infrastructure,Railnet LLC,Virtualine Technologies; RAILNET; OMEGATECH; DripHosting/DiorHost; RetryHost,,"aurologic GmbH (AS30823) (~95% of prefixes, Aug 2025); Pfcloud UG (AS51396) (one /24)",aurologic GmbH,,,UAC-0050; UAC-0006,Latrodectus; AsyncRAT,Underground forum advertising; Prefix shedding; No route diversification,Spamhaus ASN-DROP (AS202412 under virtualine.org; AS214943 and AS214940 listed under virtualine.org in Dec 2025); Underground forum advertising; High malicious traffic ratio,,2026-09-25,"RF 2025 top-10 (#1, as Virtualine)",RF-TAE-2026; GBHACKERS-BPH; TEAMCYMRU-VIRTUALINE; SPAMHAUS-BPH; RF-AUROLOGIC; SPAMHAUS-ASNDROP-2026; INTRINSEC-OMEGATECH-2026; INTRINSEC-UAC-2025; REGISTRY-SNAPSHOT-2026-09; INTRINSEC-FDN3-2025,"Virtualine Technologies is the operator behind Railnet LLC (AS214943, Kentucky LLC), KPROHOST (AS214940), the 'metaspinner' AS209800 front, likely Karina Rashkovska (AS215789) and now OMEGATECH (AS202412) - at least five number-resource identities. Advertised on Russian-language forums for phishing/spam enablement ('DMCA & Abuse Ignored'). RF ranked Virtualine #1 by Threat Density for 2025; Intrinsec documented UAC-0050/UAC-0006 activity on its infrastructure and, in May 2026, assessed OMEGATECH as 'yet another network created by Virtualine' (642k+ honeypot hits in March 2026). In April 2025 it shifted IPv4 resources to the 'metaspinner' AS209800; those ranges now sit on AS202412. AS214943 has announced nothing since ~2026-02 and was dropped from ASN-DROP; OMEGATECH is the live network (15 /24s, 13 on Spamhaus DROP). Tier raised T2 -> T1 on 2026-09-25 (taxonomy T1: RF top-decile density; forum BPH advertising with infrastructure evidence; 3+ independent vendors). | Merged record (was a duplicate AS214943 row).",
QWINS LTD,flagged,T2-High Risk,AS213702,AS218731 (Spamhaus ASN-DROP under qwins.co; 35 IPv4 prefixes); AS214422 (NET67X; Spamhaus ASN-DROP under qwins.co; no routes),141.98.6.0/24; 93.123.39.0/24,United Kingdom (shell),Russia,QWINS LTD,,,,,,Kristina Konstantinova (nominee director Nov 2024-April 2025),,Makoob; Guloader; AgentTesla; Lumma; Amadey; RedLine,Nominee director pattern; Telegram bot sales; Shell company,Spamhaus ASN-DROP (AS213702; AS218731; AS214422 under qwins.co); Shell company structure; No KYC (Telegram bot ~$2/mo); High malicious traffic ratio,2024-11-11,2026-09-25,,INTEL-INSIGHTS-QWINS; SPAMHAUS-ASNDROP-2026; REGISTRY-SNAPSHOT-2026-09,"UK shell (reported incorporated 2024-11-11) selling cheap VPS via a Telegram bot (~$2/mo), with a six-month nominee director. Vasilis Orlof tied AS213702 to multiple malware families via 141.98.6.0/24. Spamhaus ASN-DROP now lists three ASNs under qwins.co: AS213702, AS218731 (newly listed; registered to an individual in Latvia; announces 35 IPv4 prefixes) and AS214422 (NET67X; no routes). Third parties give UK company no. 16072422 and link QWINS to the Aeza UK-shell network (single source, unverified).",
GCSAS (Global Connectivity Solutions LLP),flagged,T2-High Risk,AS215540,,,United Kingdom (LLP shell),,Global Connectivity Solutions LLP,GCSAS,,,,,,"Gamaredon (C2 hosting, 2023); SilkParasite (SpiceRAT C2, 2026 - IP-to-ASN mapping); UAC-linked activity (Intrinsec)",Gamaredon tooling; SpiceRAT,UK LLP shell; Routing conduit for Stark Industries,Shell company structure; No route diversification; Ransomware C2,2023-08,2026-09-25,,GBHACKERS-BPH; ESET-GAMAREDON-IOC; INTRINSEC-UAC-2025; HUNTIO-SILKPARASITE-2026; REGISTRY-SNAPSHOT-2026-09; INTRINSEC-FDN3-2025,"UK LLP operating AS215540: 181 IPv4 prefixes / 62,720 addresses plus 24 IPv6 prefixes (2026-09-25; the earlier '~176 / ~41K' is outdated). ESET lists Gamaredon infrastructure on GCSAS addresses first seen Aug-Sep 2023. Intrinsec named GCSAS in its March 2025 UAC-infrastructure report and in Aug 2025 among shell-fronted networks announcing prefixes moved out of the FDN3 cluster. A SpiceRAT C2 active in March 2026 (Hunt.io, SilkParasite campaign; 171.22.16.187) maps to AS215540 by our own IP-to-ASN lookup. Status raised suspected -> flagged (two independent B-grade sources). Unverified and retained with caution: LLP number OC450701; Black Basta/Cactus C2 routing via Stark AS44477. Not on Spamhaus ASN-DROP.",
Karina Rashkovska,dissolved,T2-High Risk,AS215789 (historical; reassigned to BLIK / Polski Standard Platnosci SA [PL] - do not block),,"Historical: 147.45.44.0/24 (now AS202799 SYSECT); 147.45.47.0/24; 82.115.223.0/24 (now AS214927 PSB Hosting, on Spamhaus ASN-DROP)",Ukraine (Dnipropetrovska),Netherlands; Switzerland,,KARINAR; ORG-KR98-RIPE,,aurologic GmbH (AS30823),aurologic GmbH; assessed part of the Virtualine cluster,,,,RisePro stealer,Single-maintainer shell; Virtualine sub-network (UAC-0050 spam),ASN since reassigned; historical RisePro C2 hosting,2024,2026-09-25,,HYAS-RISEPRO; RF-AUROLOGIC; REGISTRY-SNAPSHOT-2026-09; INTRINSEC-UAC-2025,"Individual-registered RIPE network (2024) behind aurologic that HYAS (Apr 2024) flagged for RisePro stealer C2 (147.45.47.93); Intrinsec (via a third party) ties AS215789 to Virtualine's UAC-0050 spam. AS215789 has since been returned and re-issued to BLIK / Polski Standard Platnosci SA (PL), which announces nothing from it - do not block AS215789. Its former prefixes now originate from SYSECT D.O.O. (AS202799, ME) and PSB Hosting Ltd (AS214927, on Spamhaus ASN-DROP under psb.hosting) - successor-watch leads, not attribution. Status set to 'dissolved' (registration defunct) on 2026-09-25. Unverified: the exact 2024-01-03 date and the '2223 domains across 72 IPs' figure.",
Cloudzy / abrNOC,exposed,T3-Suspected,AS14956,"AS200038 (Cloudzy A I Information Technology L.L.C [AE]; registered, no routes)",,United States (incorporated; Wyoming unverified),Iran,RouterHosting LLC,abrNOC,,,,,Hassan Nozari,APT10; Sidewinder; APT33; APT34; Kimsuky; Konni; Lazarus; Transparent Tribe; APT29; Turla; OceanLotus; Evil Corp; FIN12; Ghost Clown (Black Basta); Space Kook (Royal); Candiru,,Iranian front company; Shell games,No KYC; Anonymous crypto RDP VPS; Shell company structure; Halcyon: potentially 40-60% of activity malicious; Historical Spamhaus ASN-DROP listing (Dec 2025; delisted by Sep 2026),,2026-09-25,,HALCYON-CLOUDZY; FLARE-CLOUDZY; REGISTRY-SNAPSHOT-2026-09,"US-incorporated command-and-control provider that Halcyon (Aug 2023) exposed as an operational front for the Iranian firm abrNOC (Tehran), estimating that potentially 40-60% of its overall activity could be malicious. Used by a long list of state and criminal actors (see associated_threat_actors; BlueNoroff is not in Halcyon's list). AS14956 (RouterHosting) still announces 66 IPv4 prefixes; it was on Spamhaus ASN-DROP (cloudzy.com) in Dec 2025 and has since been delisted. A UAE registration, AS200038, has no routes. Corrections 2026-09-25: operator name is Hassan (not Hannan) Nozari; the unsourced EvilProxy link was removed.",
metaspinner-named AS209800 (Virtualine front),dissolved,T3-Suspected,AS209800 (historical; reassigned to ZEMA GbR [DE] - do not block),,,Germany (registration used the name of a legitimate company),Germany-hosted behind aurologic,"None verified - RF says Virtualine-affiliated actors controlled AS209800 and impersonated the legitimate Hamburg firm metaspinner net GmbH, which is not the operator",metaspinner; LANEDONET (Oct 2025 prefix re-description),,aurologic GmbH (AS30823),aurologic GmbH,,,,,Prefix migration recipient from Virtualine; Name impersonation of a legitimate company,Impersonated corporate identity; No route diversification; ASN since reassigned,2025-04-25,2026-09-25,,RF-TAE-2026; RF-AUROLOGIC; KREBS-BPH; REGISTRY-SNAPSHOT-2026-09,"AS209800 was created 2025-04-25 and announced solely via aurologic; RF Insikt says it was controlled by Virtualine-affiliated actors who impersonated the long-standing legitimate Hamburg company metaspinner net GmbH (RENAMED 2026-09-25 so the row no longer names that company as the operator). Its prefixes (91.92.240.0/22, 158.94.208.0/22, 178.16.52.0/22) received Virtualine traffic from April 2025 and now originate from OMEGATECH AS202412 (see the Railnet/Virtualine row). The ASN has been re-issued to an unrelated German GbR (ZEMA) - do not block AS209800. Status set to 'dissolved' (network defunct).",
KPROHOST,flagged,T2-High Risk,AS214940 (dark since ~2026-08),,,United States (Kentucky shell),,KPROHOST LLC,KPRONET; Virtualine network (Intrinsec; Spamhaus Dec 2025),,Pfcloud UG (AS51396) and AS215436 (peers); IPv6 via AS43641,Virtualine cluster,,,,,Shell company; Gmail abuse contact; Virtualine sub-network,Shell company structure; Gmail abuse contact; Historical Spamhaus ASN-DROP listing under virtualine.org (Dec 2025),2024-05-10,2026-09-25,,RF-AUROLOGIC; RIPE-DB; SPAMHAUS-ASNDROP-2026; REGISTRY-SNAPSHOT-2026-09; INTRINSEC-FDN3-2025,"RIPE-registered 2024-05-10 by KPROHOST LLC (Frankfort, KY; Kentucky reg. 1360766); abuse contact kprohost.abuse@gmail.com. Intrinsec attributes AS214940 to Virtualine, and Spamhaus listed it under virtualine.org in Dec 2025 (since delisted). Its two historical /24s (195.211.191.0/24, 45.144.212.0/24) now originate from HBING (AS208949) and Pfcloud (AS51396). The ASN has announced nothing since ~2026-08-12. Tier raised T3 -> T2 on 2026-09-25 (shell structure; part of a T1 operator; blocklisting). Correction: its upstreams were Pfcloud and AS215436, not aurologic.",
Altawk (Daniil Yevchenko),flagged,T2-High Risk,AS209946 (ALINDA LLC [UA]; Spamhaus ASN-DROP under altawk.com),"AS203727 (historical; reassigned to byon GmbH [DE] - do not block); AS215826 (Partner Hosting LTD [GB]; listed under altawk.com in Dec 2025, delisted)",,Russia,Geolocated Finland/Sweden; servers at Tornado DC (Langen) behind aurologic,,,,aurologic GmbH (AS30823),aurologic GmbH,,Daniil Yevchenko,Doppelganger disinformation,,aurologic downstream; Russia-linked,Spamhaus ASN-DROP (AS209946 under altawk.com); Russia-linked; aurologic downstream,,2026-09-25,,QURIUM-DOPPELGANGER; RF-AUROLOGIC; SPAMHAUS-ASNDROP-2026; REGISTRY-SNAPSHOT-2026-09,"Named by Qurium as Russia-linked infrastructure behind aurologic serving the Doppelganger disinformation network, historically on AS203727 (now re-issued to byon GmbH - do not block). Spamhaus now lists AS209946 (ALINDA LLC, UA) under altawk.com; it announces 4 prefixes, all on Spamhaus DROP. An earlier Altawk-domain ASN, AS215826, was listed in Dec 2025 and later removed. Tier raised T3 -> T2 on 2026-09-25 (ASN-DROP inclusion plus Qurium).",
HostSlick,flagged,T3-Suspected,"AS197170 (TECHTIES-AS, TechTies Inc. [SC]; Spamhaus ASN-DROP under hostslick.de)",AS208046 (historical; ColocationX Ltd; reassigned to a French individual - do not block),,Seychelles (AS197170 holder); Netherlands (historical operations),Netherlands,,hostslick.com; hostslick.de,,"Historical: WorldStream (AS49981), ColocationX was the AS holder",,,,,,Forum advertising on underground platforms; Tiered abuse tolerance,Spamhaus ASN-DROP (AS197170 under hostslick.de); Underground forum presence; DMCA-ignored marketing,,2026-09-25,,OSINT-FORUMS; SPAMHAUS-ASNDROP-2026; REGISTRY-SNAPSHOT-2026-09,"Offshore host advertising on LowEndTalk, cracked.io, BlackHatWorld and BreachForums, self-described 'DMCA Ignored', with abuse tolerance tied to pricing tier (marketing evidence, grade E). Spamhaus now lists AS197170 (TechTies Inc., SC) under hostslick.de; it announces 13 IPv4 /24s, all on Spamhaus DROP. The earlier AS208046 was ColocationX Ltd's network (a HostSlick VPS sat there in Nov 2023) and has been re-issued - do not block it. Held at T3 (status flagged): ASN-DROP inclusion would normally escalate to T2, but only one independent B/C source supports it.",
aurologic GmbH,active,T2-High Risk (Upstream Enabler),AS30823,AS43043 (AUROLOGIC-CLOUD),,Germany,Germany (Langen),aurologic GmbH,fastpipe.io; combahton GmbH (predecessor network),,,,,CEO Joseph Maximilian Hofmann (also CEO of Tornado Datacenter GmbH),,,Central upstream hub; LIR manipulation,Upstream for multiple T1-T2 entities (RF: ~70% of prominent high-risk TAEs); Not on Spamhaus ASN-DROP,2023,2026-09-25,,RF-AUROLOGIC; RF-TAE-2026; REGISTRY-SNAPSHOT-2026-09,"Central upstream for Europe's high-risk hosting ecosystem. RF: formed in 2023 following the transition of combahton GmbH's fastpipe (combahton announced the transition in Nov 2023); multi-terabit backbone at Tornado Datacenter, Langen. RF's 2025 review says it transits about 70% of the most prominent high-risk TAE networks, and ~50% of Aeza's announced prefixes ran via aurologic (Nov 2025). Downstreams named by RF: Femo IT/Defhost, Global-Data (SWISSNETWORK02), the metaspinner-named front, Railnet/Virtualine and Aeza; Qurium adds Tnsecurity, WAIcore and Altawk. Corrections 2026-09-25: the 'top-10 globally' ranking belongs to SWISSNETWORK02, not aurologic; the '1-5 Tbps' figure is unsourced; KPROHOST is not an aurologic downstream. Several named downstreams have since gone dark or had their ASNs re-issued.",
Garantex,evading,T1-Confirmed BPH (Financial Enabler),,,,Russia,Russia (Moscow / St. Petersburg); originally Estonia-registered (licence revoked Feb 2022),Garantex Europe OU,Garantex; garantex.org / .io,,,,"OFAC April 5 2022 (with Hydra Market); EU 16th package Feb 24 2025 (first EU crypto-exchange listing; 6 wallet addresses); domains seized March 6 2025 (USSS with NL/DE/EE/FI) and E.D. Va. indictment of Besciokov and Mira Serda unsealed March 7 2025; OFAC Aug 14 2025 re-designation of Garantex Europe OU alongside successor Grinex, executives and six related companies",Aleksandr Mira Serda (co-founder/CCO; State Dept reward up to $5M); Sergey Mendeleev (co-founder); Pavel Karavatsky (co-founder); Aleksej Besciokov (technical administrator; indicted; arrested in India ~2025-03-11),,,Sanctions evasion; Successor spawning (Grinex),Sanctioned entity and personnel; Evading via successor entity,2019,2026-09-25,,OFAC-GARANTEX; CHAINALYSIS-OFAC; CHAINALYSIS-BPH; DOJ-GARANTEX-2025,"Cryptocurrency exchange founded 2019 (not a mixer; the 'EUR 1.3B since 2016' figure belongs to Cryptomixer). DOJ: processed at least $96B since 2019. Foundational payment rail for the BPH/ransomware ecosystem - Zservers, Aeza and Media Land proceeds moved through Garantex wallets. The US Secret Service seized garantex.org/.io/.academy around 2025-03-06 and DOJ unsealed charges; Grinex (Kyrgyzstan, registered Dec 2024) became the successor. The Aug 2025 OFAC action also designated Exved and InDeFi Bank (Mendeleev-linked payment firms) and the A7 network (A7 LLC, A71 LLC, A7 Agent LLC, Old Vector LLC) - related entities, not aliases. In May 2026 the UK designated Exmo, Rapira, Bitpapa and ABCeX (Nueva Cryptologia), so earlier 'active successor' labels for those venues are outdated; MKAN Coin is unverified.",
BuyVM / Frantech Solutions,active,T4-Gray Zone,AS53667,,,Canada (company); United States (ARIN registry country for AS53667),Canada / US / Luxembourg,Frantech Solutions,,,,,,Francisco Dias,,,Permissive hosting; Tor-friendly,Slow abuse response; Permits Tor exit relays; Anonymous payment accepted,2007,2026-09-25,,OSINT-REVIEWS; REGISTRY-SNAPSHOT-2026-09,"Low-cost VPS provider (AS53667, PONYNET) with data centres in Las Vegas and Luxembourg. Permits Tor exit relays. AUP formally prohibits malicious content but abuse response is slow. Scamalytics 40/100 fraud score. AS53667 appears in maltrail's worst-ASN list; it is not on Spamhaus ASN-DROP. Founding year and fraud score are unverified.",
AlexHost,active,T4-Gray Zone,AS200019,AS207636 (ALEXHOST-SRL),"176.123.0.0/21; 176.123.8.0/22; 37.221.65.0/24; 37.221.67.0/24 (78 prefixes / 44,800 addresses in total, 2026-09-25)",Moldova,Moldova (Chisinau),S.R.L. AlexHost,,,Voxility (DDoS mitigation),,,,"Dark Caracal (Bandook C2, 2026); Cl0p (Cleo campaign callback infrastructure, Dec 2024)",,DMCA-ignored marketing; Offshore jurisdiction; Crypto payment,No KYC optional; DMCA-ignored; Crypto payment; Slow abuse response,,2026-09-25,,STISC-ALEXHOST; ARCTICWOLF-DARKCARACAL-2026; HUNTRESS-CLEO-2024; REGISTRY-SNAPSHOT-2026-09,"Moldovan offshore hoster marketing DMCA-ignored hosting (Silent Push: ~10,000 active IPs and 400+ malicious domains in an 8-day sample). Named in STISC reporting after a 1,330-email phishing wave spoofing the Moldovan government. Arctic Wolf (Aug 2026): Dark Caracal's Bandook C2s were hosted on AlexHost, 'a provider previously associated with Dark Caracal'. Cl0p's Cleo campaign (Dec 2024) used AlexHost addresses (176.123.5.126 per Huntress). Do not conflate with the Russian 'Alex Host LLC' that Intrinsec ties to the FDN3 cluster. Correction 2026-09-25: the former known_prefixes (176.123.0.0/16; 37.221.64.0/19) overstated AlexHost's space - most of those ranges belong to other networks. Unverified: the 'former Soviet bomb shelter' claim.",
PrivateAlps / Private Layer,active,T3-Suspected,AS51852,"AS52288 (PRIVATE-LAYER; registered, no routes)",,Panama (Private Layer INC is the registry holder of AS51852 and AS52288),Switzerland (marketed); unverified,Private Layer INC,Private Layer; privatealps.net,,,,,,,,DMCA-ignored; Monero-friendly; Tor-permissive; Swiss jurisdiction,No KYC; DMCA-ignored; Crypto payment (Monero); Permits Tor/Kali,~2019,2026-09-25,"RF 2025 top-10 (#6, as PrivateAlps)",RF-TAE-2026; REGISTRY-SNAPSHOT-2026-09,"Swiss-marketed offshore brand (privatealps.net) of Private Layer INC (Panama registry holder of AS51852/AS52288), marketing DMCA-ignored, no-logs, anonymous, Monero-friendly hosting. RF ranks PrivateAlps #6 in its 2025 Threat Density top 10, and RF's aurologic report ties Global-Data System IT (SWISSNETWORK02) to PrivateAlps. Tier raised T4 -> T3 on 2026-09-25: a top-10 density ranking is inconsistent with T4's 'not predominantly malicious'; T2/T1 would need further independent evidence (not on Spamhaus ASN-DROP). Correction: registry entity is Private Layer INC (Panama), not Private Layer AG (Switzerland).",
FlokiNET,active,T4-Gray Zone,AS200651,,,"Iceland (FlokiNET ehf, registry holder of AS200651)",Romania / Finland / Iceland,FlokiNET ehf,,,,,,,,,Free-speech BPH; Multi-jurisdiction,Messaging-only possible; DMCA-ignored; Offshore registration,,2026-09-25,,TRENDMICRO-INTERPOL; REGISTRY-SNAPSHOT-2026-09,"Commercialized free-speech hosting brand with a multi-jurisdiction presence (Romania, Finland, Iceland); explicit uncensored-hosting marketing. Trend Micro/Interpol 2023 reportedly attributed 13% of Africa-related offshore BPH sourcing to FlokiNET (figure unverified). Correction 2026-09-25: the registry holder is FlokiNET ehf (Iceland); the earlier Seychelles / 'Floki Network Services Ltd' details are unverified.",
Shinjiru,active,T4-Gray Zone,AS45839,multiple regional ASNs,,Malaysia,NL; RU; BG; LT; SG; LU; HK,Shinjiru Technology Sdn Bhd,Shinjiru Technology,,,,,,,,DMCA-ignored; Multi-jurisdiction; Crypto payment; Advises Cloudflare fronting,No KYC; DMCA-ignored; Anonymous registration; Crypto payment,~2003,2026-09-25,,SPAMHAUS-BPH; OSINT-FORUMS; REGISTRY-SNAPSHOT-2026-09,"Veteran Malaysian offshore host (APNIC holder Shinjiru Technology Sdn Bhd; AS45839 announces 16 IPv4 prefixes, 5 overlapping Spamhaus DROP). Markets DMCA-ignored hosting across several jurisdictions; Silent Push reports a 12-day abuse response and a 10-day grace period. Spamhaus flagged an unnamed Malaysia-based ISP matching Shinjiru's profile. Unverified: founding year (~2003) and the eight-jurisdiction count.",
Phanes Networks,active,T4-Gray Zone,AS49042 (historical; deregistered),,,Netherlands,Netherlands (Urk),SKB Enterprise B.V.,Phanes Cloud; Flaunt7 (predecessor),,SpectraIP (AS62068/AS218878; single peering partner per Silent Push),,,Sijmen Klaas Bakker,,,Rebranded from Flaunt7,Slow abuse response; Rebranded from flagged entity,,2026-09-25,,OSINT-REVIEWS; REGISTRY-SNAPSHOT-2026-09,"Dutch hoster (reported address Keteldiep 15, Urk) rebranded from Flaunt7. AS49042 was historically 'Phanes Networks B.V.' and is now absent from the registry and routing data. Silent Push reports 'bulletproof' in Phanes' marketing and a 4-day abuse response; Trustpilot reviews document unresponsive handling of phishing complaints. SpectraIP is its peering partner, not an alias. SKB Enterprise B.V. held a separate ASN (AS64425) and its relationship to Phanes is unverified.",
PQ Hosting Plus S.R.L.,evading,T1-Confirmed BPH,AS44477 (historical; received 2025-05-16; withdrawn from routing ~2026-04 and deregistered),,,Moldova,Moldova,PQ Hosting Plus S.R.L.,PQ.Hosting successor entity; WEISS HOSTING GROUP S.R.L. (Neculiti-linked LIR),PQ.Hosting (Neculiti) - RF: PQ.Hosting was Stark's parent,,,Not designated: PQ Hosting Plus S.R.L. is absent from Annex I of Reg. (EU) 2024/2642 (only the 'PQ Hosting' brand/pq.hosting appears inside Stark's entry); exposure arises indirectly via ownership/control by EU-listed Ivan Neculiti,Ivan Neculiti; Iurie Neculiti (EU-listed); RIPE maintainer attributed by RF to Dmitrii Miasnikov,,,Sanctions-evasion vehicle,Sanctioned personnel; Rapid rebranding,2025-05-13,2026-09-25,,RF-TAE-2026; EU-STARK; RF-STARK,"Moldova-registered LIR (ORG-PHPS1-RIPE, Chisinau, created 2025-05-13) that received AS44477 from Stark Industries on 2025-05-16, four days before the EU listing. RF: 'although PQ.Hosting was referenced within the sanctions multiple times... the company itself was not sanctioned' - status corrected sanctioned -> evading on 2026-09-25 (T1 retained: sanctioned beneficial owners; sanctions-evasion vehicle). ELLIO reports AS44477 has not been visible in the global routing table since about 2026-04-16; the ASN is now deregistered and was never on Spamhaus ASN-DROP. Successor capacity sits with WorkTitans/THE.Hosting and UFO Hosting.",
UFO Hosting LLC,evading,T2-High Risk,AS33993,,,Russia,Russia (Moscow),UFO Hosting LLC,"YuFO Hosting; ufo.hosting; GEO.Hosting (linked brand, D-grade)",Stark Industries Solutions (prefix recipient),,,,Savushkin Mikhail Yuryevich,,,Sanctions-resilient vehicle; Prefix migration recipient,Spamhaus ASN-DROP (AS33993 under stark-industries.solutions); Shell company structure; Rapid infrastructure migration,2025-03-13,2026-09-25,,RF-STARK; SPAMHAUS-ASNDROP-2026; REGISTRY-SNAPSHOT-2026-09,"Russian ISP (company registered 2025-02-18; INN 5043089443; Chekhov district, Moscow region) whose RIPE org was created 2025-03-13. RF identified it as the sanctions-resilient vehicle for Stark Industries' Russian prefixes, with most transfers on 2025-04-13. AS33993 announced 21 prefixes as of 2025-05-16 and 27 today; Spamhaus lists it under stark-industries.solutions. Russian-language sources report THE.Hosting, UFO.Hosting and GEO.Hosting customers losing VPSs around the May 2026 raid (D-grade). Correction 2026-09-25: StormWall s.r.o. provided DDoS-protection fronting for Stark/PQ domains; it is not a BGP upstream.",
MIRhosting B.V.,flagged,T2-High Risk,AS52000,AS206932 (MIRHOSTING-NL),,Netherlands,Netherlands (Amsterdam),MIRhosting B.V.,mirhosting.com; Innovation IT Solutions Corp (related company),,,,,Andrey Nesterenko,,,Netherlands infrastructure pillar for Stark/WorkTitans chain,Non-cooperative with LE historically; Key infrastructure node,2004,2026-09-25,,KREBS-BPH; RF-INFRA-2025; GREYNOISE-STARK; KREBS-FIOD-STARK; REGISTRY-SNAPSHOT-2026-09,"Founded in 2004 by Andrey Nesterenko, who was arrested in the FIOD raid of 2026-05-18 (name press-reported). Krebs: WorkTitans reached the internet solely through MIRhosting, and AS52000 is the first peer in AS209847's aut-num. The 2008 StopGeorgia.ru hosting is attributed (Jeffrey Carr) to the related Innovation IT Solutions Corp; Nesterenko said he could not verify it. De Volkskrant data showed WorkTitans and MIRhosting as the most-used networks in pro-Russian attacks on Danish bodies (Nov 2025). AS52000 has shrunk to two IPv4 /24s (185.15.209.0/24, 185.15.210.0/24). T1 candidate if the FIOD seizure is confirmed to have covered MIRhosting-operated infrastructure. Unverified: the 'temporarily paused services to WorkTitans' quote.",
Global-Data System IT Corp (SWISSNETWORK02),flagged,T2-High Risk,AS34888 (registered; no routes); AS42624 (registered; no routes),,,Seychelles,Switzerland (claimed; unverified); aurologic-transited,Global-Data System IT Corporation,SWISSNETWORK01; SWISSNETWORK02; Simple Carrier LLC (predecessor); simplecarrier.net,,aurologic GmbH (AS30823),aurologic GmbH,,,,Cobalt Strike; Sliver; QuasarRAT; Remcos; DCRat; Latrodectus; Amadey; Rhadamanthys; RedLine; Meduza,Zero route diversification; aurologic-locked,"Historical Spamhaus ASN-DROP listing (simplecarrier.net, Dec 2025; delisted); RF top-10 malicious-activity density (Sept 2025); No route diversification; Network now unrouted",2024-07,2026-09-25,,RF-AUROLOGIC; SPAMHAUS-ASNDROP-2026; REGISTRY-SNAPSHOT-2026-09,"Seychelles-registered holder of AS34888 and AS42624, transferred from Simple Carrier LLC (July 2024). RF (Sept-Nov 2025): 11 IPv4 prefixes (2,816 addresses) all via aurologic AS30823, top ten for malicious-activity density in Sept 2025, linked to PrivateAlps. Both ASNs were on Spamhaus ASN-DROP (simplecarrier.net) in Dec 2025 and have since been delisted; neither announces anything now (e.g. 185.196.8.0/22 and 185.208.156.0/22 are unrouted). Do not confuse with the unrelated Iranian swissnetwork.io ASNs (AS199467, AS209373). Correction 2026-09-25: registration is Seychelles, not Switzerland.",
PINSPB (Petersburg Internet Network Ltd),flagged,T2-High Risk,AS44050,AS34665 (PINDC-AS; Petersburg Internet Network Ltd),,Russia,Russia (St. Petersburg),Petersburg Internet Network Ltd,PIN; Pinspb,,,,,,"Cl0p (torrent seeding server, 2023); TACTICALOCTOPUS (C2)",,Long-running Russian BPH,Long-running Russian hosting with repeated malicious tenancy; Not on Spamhaus ASN-DROP,,2026-09-25,,TRENDMICRO-INTERPOL; UNIT42-CL0P-TORRENTS; SECURONIX-TACTICALOCTOPUS; REGISTRY-SNAPSHOT-2026-09,"Long-running St. Petersburg hoster (AS44050 announces 13 IPv4 prefixes; sister AS34665 PINDC-AS announces 69). Unit 42 (Sept 2023): a Cl0p torrent-seeding server, 95.215.0.76, was hosted by PIN DC on AS34665 (that block is now originated by AS44050). Securonix: TACTICALOCTOPUS C2 addresses 5.8.8.100 and 109.206.240.67 were registered to Petersburg Internet Network Ltd. Its T2 tier rests heavily on the Trend Micro/Interpol 2023 figure (PIN 19% of malicious offshore BPH sourcing, behind ELITETEAM 48% and ahead of FlokiNET 13%), which could not be re-verified; without it the vendor evidence supports T3. Not on Spamhaus ASN-DROP.",
